obj_i,obj_j,cell_id,t_exit_i,t_enter_j,pet,severity
1,2,"(26, 2)",0.2,0.9,0.7,critical
1,2,"(26, 2)",0.2,1.1,0.9000000000000001,critical
2,53,"(26, 2)",1.0333333333333334,2.3666666666666667,1.3333333333333333,critical
2,53,"(26, 2)",2.2,2.3666666666666667,0.16666666666666652,critical
2,53,"(26, 2)",2.2,3.6,1.4,critical
250,315,"(26, 2)",7.066666666666666,8.5,1.4333333333333336,critical
250,315,"(26, 2)",7.066666666666666,8.7,1.6333333333333329,moderate
250,315,"(26, 2)",7.233333333333333,8.5,1.2666666666666666,critical
250,315,"(26, 2)",7.233333333333333,8.7,1.466666666666666,critical
1,2,"(26, 3)",0.3333333333333333,2.2333333333333334,1.9000000000000001,moderate
1,2,"(26, 3)",0.5,2.2333333333333334,1.7333333333333334,moderate
1,2,"(25, 3)",0.43333333333333335,2.3333333333333335,1.9000000000000001,moderate
1,2,"(25, 3)",1.2333333333333334,2.3333333333333335,1.1,critical
2,53,"(25, 3)",3.2333333333333334,4.533333333333333,1.2999999999999998,critical
2,53,"(25, 3)",3.2333333333333334,4.866666666666666,1.6333333333333329,moderate
2,53,"(25, 3)",3.4,4.533333333333333,1.1333333333333333,critical
2,53,"(25, 3)",3.4,4.866666666666666,1.4666666666666663,critical
6,3,"(24, 3)",0.0,0.9666666666666667,0.9666666666666667,critical
6,1,"(24, 3)",0.0,1.3333333333333333,1.3333333333333333,critical
6,82,"(24, 3)",0.0,1.4,1.4,critical
6,1,"(24, 3)",0.0,1.6666666666666667,1.6666666666666667,moderate
6,1,"(24, 3)",0.0,1.9333333333333333,1.9333333333333333,moderate
8,3,"(24, 3)",0.03333333333333333,0.9666666666666667,0.9333333333333333,critical
8,1,"(24, 3)",0.03333333333333333,1.3333333333333333,1.2999999999999998,critical
8,82,"(24, 3)",0.03333333333333333,1.4,1.3666666666666665,critical
8,1,"(24, 3)",0.03333333333333333,1.6666666666666667,1.6333333333333333,moderate
8,1,"(24, 3)",0.03333333333333333,1.9333333333333333,1.9,moderate
3,1,"(24, 3)",0.9666666666666667,1.3333333333333333,0.3666666666666666,critical
3,82,"(24, 3)",0.9666666666666667,1.4,0.43333333333333324,critical
3,1,"(24, 3)",0.9666666666666667,1.6666666666666667,0.7000000000000001,critical
3,1,"(24, 3)",0.9666666666666667,1.9333333333333333,0.9666666666666667,critical
1,2,"(24, 3)",1.4666666666666666,3.2666666666666666,1.8,moderate
1,2,"(24, 3)",1.4666666666666666,3.433333333333333,1.9666666666666666,moderate
82,1,"(24, 3)",1.4,1.6666666666666667,0.26666666666666683,critical
82,1,"(24, 3)",1.4,1.9333333333333333,0.5333333333333334,critical
82,2,"(24, 3)",1.4,3.2666666666666666,1.8666666666666667,moderate
1,2,"(24, 3)",1.7333333333333334,3.2666666666666666,1.5333333333333332,moderate
1,2,"(24, 3)",1.7333333333333334,3.433333333333333,1.6999999999999997,moderate
1,2,"(24, 3)",1.9333333333333333,3.2666666666666666,1.3333333333333333,critical
1,2,"(24, 3)",1.9333333333333333,3.433333333333333,1.4999999999999998,critical
2,53,"(24, 3)",3.3333333333333335,4.633333333333334,1.3000000000000003,critical
2,53,"(24, 3)",3.3333333333333335,4.9,1.5666666666666669,moderate
2,53,"(24, 3)",3.7,4.633333333333334,0.9333333333333336,critical
2,53,"(24, 3)",3.7,4.9,1.2000000000000002,critical
250,315,"(24, 3)",9.1,11.0,1.9000000000000004,moderate
745,781,"(24, 3)",20.333333333333332,21.3,0.9666666666666686,critical
745,781,"(24, 3)",20.333333333333332,22.0,1.6666666666666679,moderate
8,15,"(24, 4)",0.26666666666666666,0.3333333333333333,0.06666666666666665,critical
8,1,"(24, 4)",0.26666666666666666,1.7666666666666666,1.5,moderate
8,1,"(24, 4)",0.26666666666666666,1.9666666666666666,1.7,moderate
8,1,"(24, 4)",0.26666666666666666,2.033333333333333,1.7666666666666666,moderate
8,1,"(24, 4)",0.4,1.7666666666666666,1.3666666666666667,critical
8,1,"(24, 4)",0.4,1.9666666666666666,1.5666666666666664,moderate
8,1,"(24, 4)",0.4,2.033333333333333,1.6333333333333333,moderate
15,8,"(24, 4)",0.36666666666666664,0.5,0.13333333333333336,critical
15,1,"(24, 4)",0.36666666666666664,1.7666666666666666,1.4,critical
15,1,"(24, 4)",0.36666666666666664,1.9666666666666666,1.5999999999999999,moderate
15,1,"(24, 4)",0.36666666666666664,2.033333333333333,1.6666666666666665,moderate
8,1,"(24, 4)",0.5,1.7666666666666666,1.2666666666666666,critical
8,1,"(24, 4)",0.5,1.9666666666666666,1.4666666666666666,critical
8,1,"(24, 4)",0.5,2.033333333333333,1.5333333333333332,moderate
1,2,"(24, 4)",2.033333333333333,4.0,1.9666666666666668,moderate
170,2,"(24, 4)",4.1,4.2,0.10000000000000053,critical
8,1,"(23, 4)",0.3,1.8666666666666667,1.5666666666666667,moderate
8,1,"(23, 4)",0.3,2.0,1.7,moderate
8,111,"(23, 4)",0.3,2.2333333333333334,1.9333333333333333,moderate
15,8,"(23, 4)",0.3,0.43333333333333335,0.13333333333333336,critical
15,8,"(23, 4)",0.3,0.5333333333333333,0.23333333333333334,critical
15,8,"(23, 4)",0.3,1.0666666666666667,0.7666666666666666,critical
15,1,"(23, 4)",0.3,1.8666666666666667,1.5666666666666667,moderate
15,1,"(23, 4)",0.3,2.0,1.7,moderate
15,111,"(23, 4)",0.3,2.2333333333333334,1.9333333333333333,moderate
8,1,"(23, 4)",0.4666666666666667,1.8666666666666667,1.4,critical
8,1,"(23, 4)",0.4666666666666667,2.0,1.5333333333333332,moderate
8,111,"(23, 4)",0.4666666666666667,2.2333333333333334,1.7666666666666666,moderate
8,1,"(23, 4)",0.9666666666666667,1.8666666666666667,0.9,critical
8,1,"(23, 4)",0.9666666666666667,2.0,1.0333333333333332,critical
8,111,"(23, 4)",0.9666666666666667,2.2333333333333334,1.2666666666666666,critical
8,1,"(23, 4)",1.1,1.8666666666666667,0.7666666666666666,critical
8,1,"(23, 4)",1.1,2.0,0.8999999999999999,critical
8,111,"(23, 4)",1.1,2.2333333333333334,1.1333333333333333,critical
1,111,"(23, 4)",1.9,2.2333333333333334,0.3333333333333335,critical
1,133,"(23, 4)",1.9,3.2,1.3000000000000003,critical
1,152,"(23, 4)",1.9,3.566666666666667,1.666666666666667,moderate
1,111,"(23, 4)",2.0,2.2333333333333334,0.2333333333333334,critical
1,133,"(23, 4)",2.0,3.2,1.2000000000000002,critical
1,152,"(23, 4)",2.0,3.566666666666667,1.5666666666666669,moderate
111,133,"(23, 4)",2.2333333333333334,3.2,0.9666666666666668,critical
111,152,"(23, 4)",2.2333333333333334,3.566666666666667,1.3333333333333335,critical
111,2,"(23, 4)",2.2333333333333334,4.133333333333334,1.9000000000000004,moderate
111,170,"(23, 4)",2.2333333333333334,4.133333333333334,1.9000000000000004,moderate
133,2,"(23, 4)",3.6,4.133333333333334,0.5333333333333337,critical
133,170,"(23, 4)",3.6,4.133333333333334,0.5333333333333337,critical
133,2,"(23, 4)",3.6,4.333333333333333,0.733333333333333,critical
133,2,"(23, 4)",3.6,4.833333333333333,1.233333333333333,critical
152,2,"(23, 4)",3.566666666666667,4.133333333333334,0.5666666666666669,critical
152,170,"(23, 4)",3.566666666666667,4.133333333333334,0.5666666666666669,critical
152,2,"(23, 4)",3.566666666666667,4.333333333333333,0.7666666666666662,critical
152,2,"(23, 4)",3.566666666666667,4.833333333333333,1.2666666666666662,critical
170,2,"(23, 4)",4.133333333333334,4.333333333333333,0.1999999999999993,critical
170,2,"(23, 4)",4.133333333333334,4.833333333333333,0.6999999999999993,critical
2,53,"(23, 4)",4.733333333333333,6.166666666666667,1.4333333333333336,critical
2,53,"(23, 4)",4.733333333333333,6.433333333333334,1.7000000000000002,moderate
2,53,"(23, 4)",4.866666666666666,6.166666666666667,1.3000000000000007,critical
2,53,"(23, 4)",4.866666666666666,6.433333333333334,1.5666666666666673,moderate
315,405,"(23, 4)",12.133333333333333,12.466666666666667,0.3333333333333339,critical
315,405,"(23, 4)",12.366666666666667,12.466666666666667,0.09999999999999964,critical
405,315,"(23, 4)",12.5,12.7,0.1999999999999993,critical
405,315,"(23, 4)",12.5,12.966666666666667,0.4666666666666668,critical
2,53,"(27, 1)",0.43333333333333335,1.0,0.5666666666666667,critical
541,568,"(27, 1)",16.333333333333332,16.6,0.26666666666666927,critical
8,132,"(22, 4)",1.0333333333333334,2.6666666666666665,1.633333333333333,moderate
8,132,"(22, 4)",1.2666666666666666,2.6666666666666665,1.4,critical
8,132,"(22, 4)",1.2666666666666666,3.1333333333333333,1.8666666666666667,moderate
132,133,"(22, 4)",3.0,3.6333333333333333,0.6333333333333333,critical
132,2,"(22, 4)",3.0,4.766666666666667,1.7666666666666666,moderate
132,133,"(22, 4)",3.1333333333333333,3.6333333333333333,0.5,critical
132,2,"(22, 4)",3.1333333333333333,4.766666666666667,1.6333333333333333,moderate
132,2,"(22, 4)",3.1333333333333333,5.033333333333333,1.9,moderate
133,2,"(22, 4)",4.366666666666666,4.766666666666667,0.40000000000000036,critical
133,2,"(22, 4)",4.366666666666666,5.033333333333333,0.666666666666667,critical
2,53,"(22, 4)",4.8,6.533333333333333,1.7333333333333334,moderate
2,53,"(22, 4)",5.033333333333333,6.533333333333333,1.5,moderate
781,923,"(22, 4)",23.833333333333332,25.266666666666666,1.4333333333333336,critical
781,923,"(22, 4)",24.533333333333335,25.266666666666666,0.7333333333333307,critical
923,781,"(22, 4)",25.3,25.466666666666665,0.1666666666666643,critical
923,781,"(22, 4)",25.3,26.2,0.8999999999999986,critical
8,132,"(22, 5)",1.5333333333333334,3.033333333333333,1.4999999999999998,critical
8,132,"(22, 5)",1.5333333333333334,3.1666666666666665,1.633333333333333,moderate
132,2,"(22, 5)",3.1,4.933333333333334,1.8333333333333335,moderate
132,2,"(22, 5)",3.1,5.066666666666666,1.9666666666666663,moderate
132,2,"(22, 5)",3.1666666666666665,4.933333333333334,1.766666666666667,moderate
132,2,"(22, 5)",3.1666666666666665,5.066666666666666,1.9,moderate
358,678,"(22, 5)",18.033333333333335,18.666666666666668,0.6333333333333329,critical
358,620,"(22, 5)",18.033333333333335,19.966666666666665,1.93333333333333,moderate
358,678,"(22, 5)",18.3,18.666666666666668,0.36666666666666714,critical
358,620,"(22, 5)",18.3,19.966666666666665,1.6666666666666643,moderate
358,620,"(22, 5)",18.666666666666668,19.966666666666665,1.2999999999999972,critical
358,620,"(22, 5)",18.666666666666668,20.6,1.9333333333333336,moderate
678,620,"(22, 5)",18.733333333333334,19.966666666666665,1.2333333333333307,critical
678,620,"(22, 5)",18.733333333333334,20.6,1.8666666666666671,moderate
8,132,"(21, 5)",2.1,3.2,1.1,critical
132,133,"(21, 5)",3.6666666666666665,4.833333333333333,1.1666666666666665,critical
132,2,"(21, 5)",3.6666666666666665,5.4,1.7333333333333338,moderate
132,2,"(21, 5)",3.6666666666666665,5.533333333333333,1.8666666666666667,moderate
133,2,"(21, 5)",5.133333333333334,5.4,0.2666666666666666,critical
133,2,"(21, 5)",5.133333333333334,5.533333333333333,0.39999999999999947,critical
2,53,"(21, 5)",5.433333333333334,7.4,1.9666666666666668,moderate
2,53,"(21, 5)",5.9,7.4,1.5,moderate
8,132,"(20, 6)",2.6333333333333333,4.033333333333333,1.4,critical
8,132,"(20, 6)",2.6333333333333333,4.133333333333334,1.5000000000000004,moderate
132,2,"(20, 6)",4.066666666666666,6.0,1.9333333333333336,moderate
132,2,"(20, 6)",4.066666666666666,6.066666666666666,2.0,moderate
132,2,"(20, 6)",4.133333333333334,6.0,1.8666666666666663,moderate
132,2,"(20, 6)",4.133333333333334,6.066666666666666,1.9333333333333327,moderate
8,132,"(19, 6)",3.0,4.1,1.0999999999999996,critical
8,132,"(19, 6)",3.0,4.166666666666667,1.166666666666667,critical
132,133,"(19, 6)",4.1,6.1,2.0,moderate
132,133,"(19, 6)",4.6,6.1,1.5,moderate
132,2,"(19, 6)",4.6,6.533333333333333,1.9333333333333336,moderate
133,2,"(19, 6)",6.366666666666666,6.533333333333333,0.16666666666666696,critical
2,53,"(19, 6)",6.733333333333333,8.366666666666667,1.6333333333333337,moderate
8,132,"(18, 7)",3.466666666666667,4.866666666666666,1.3999999999999995,critical
132,2,"(18, 7)",4.933333333333334,6.833333333333333,1.8999999999999995,moderate
132,2,"(18, 7)",4.933333333333334,6.9,1.9666666666666668,moderate
2,133,"(18, 7)",6.833333333333333,7.3,0.4666666666666668,critical
2,133,"(18, 7)",6.9,7.3,0.39999999999999947,critical
2,133,"(18, 7)",7.233333333333333,7.3,0.06666666666666643,critical
2,53,"(18, 7)",7.233333333333333,9.133333333333333,1.8999999999999995,moderate
2,53,"(18, 7)",7.366666666666666,9.133333333333333,1.7666666666666666,moderate
133,53,"(18, 7)",7.3,9.133333333333333,1.833333333333333,moderate
8,132,"(17, 7)",3.7333333333333334,4.966666666666667,1.2333333333333334,critical
132,133,"(17, 7)",5.333333333333333,7.2,1.8666666666666671,moderate
132,2,"(17, 7)",5.333333333333333,7.266666666666667,1.9333333333333336,moderate
133,2,"(17, 7)",7.233333333333333,7.266666666666667,0.033333333333333215,critical
133,2,"(17, 7)",7.233333333333333,7.4,0.16666666666666696,critical
133,53,"(17, 7)",7.233333333333333,9.2,1.966666666666666,moderate
2,53,"(17, 7)",7.266666666666667,9.2,1.9333333333333327,moderate
2,53,"(17, 7)",7.5,9.2,1.6999999999999993,moderate
1647,1730,"(17, 7)",52.8,53.56666666666667,0.7666666666666728,critical
603,672,"(17, 8)",17.3,18.533333333333335,1.2333333333333343,critical
1348,1399,"(17, 8)",40.06666666666667,41.36666666666667,1.2999999999999972,critical
1621,1647,"(17, 8)",50.733333333333334,52.56666666666667,1.8333333333333357,moderate
8,132,"(16, 8)",4.133333333333334,5.533333333333333,1.3999999999999995,critical
2,53,"(16, 8)",8.033333333333333,9.766666666666667,1.7333333333333343,moderate
2,53,"(16, 8)",8.033333333333333,9.833333333333334,1.8000000000000007,moderate
279,53,"(16, 8)",7.966666666666667,9.766666666666667,1.8000000000000007,moderate
279,53,"(16, 8)",7.966666666666667,9.833333333333334,1.8666666666666671,moderate
1054,1124,"(16, 8)",30.633333333333333,32.0,1.3666666666666671,critical
1054,1124,"(16, 8)",30.833333333333332,32.0,1.1666666666666679,critical
1348,1371,"(16, 8)",40.2,41.06666666666667,0.8666666666666671,critical
1348,1399,"(16, 8)",40.2,41.733333333333334,1.5333333333333314,moderate
1371,1399,"(16, 8)",41.1,41.733333333333334,0.6333333333333329,critical
1647,1744,"(16, 8)",52.96666666666667,53.86666666666667,0.8999999999999986,critical
779,879,"(16, 9)",23.733333333333334,24.833333333333332,1.0999999999999979,critical
7,8,"(15, 9)",2.6,4.3,1.6999999999999997,moderate
8,132,"(14, 9)",4.7,6.1,1.3999999999999995,critical
2,53,"(14, 9)",8.5,10.266666666666667,1.7666666666666675,moderate
763,315,"(14, 9)",20.633333333333333,22.4,1.7666666666666657,moderate
7,8,"(14, 10)",3.2333333333333334,4.733333333333333,1.5,moderate
146,8,"(14, 10)",3.2333333333333334,4.733333333333333,1.5,moderate
8,132,"(12, 10)",5.133333333333334,6.6,1.466666666666666,critical
8,132,"(12, 10)",5.2,6.6,1.3999999999999995,critical
2,53,"(12, 10)",8.9,10.7,1.799999999999999,moderate
268,353,"(12, 10)",13.433333333333334,15.433333333333334,2.0,moderate
1765,1799,"(12, 10)",55.03333333333333,55.96666666666667,0.9333333333333371,critical
7,8,"(12, 11)",3.7666666666666666,5.166666666666667,1.4000000000000004,critical
2,53,"(10, 11)",9.233333333333333,11.066666666666666,1.833333333333334,moderate
268,353,"(10, 11)",14.2,16.2,2.0,moderate
8,132,"(9, 12)",5.766666666666667,7.366666666666666,1.5999999999999996,moderate
7,8,"(9, 13)",4.6,5.8,1.2000000000000002,critical
8,132,"(7, 13)",6.033333333333333,7.666666666666667,1.6333333333333337,moderate
2,53,"(7, 13)",9.766666666666667,11.733333333333333,1.966666666666665,moderate
7,8,"(7, 14)",5.266666666666667,6.066666666666666,0.7999999999999998,critical
8,132,"(5, 14)",6.5,7.933333333333334,1.4333333333333336,critical
8,132,"(5, 14)",6.5,8.066666666666666,1.5666666666666664,moderate
132,2,"(5, 14)",8.0,9.9,1.9000000000000004,moderate
132,2,"(5, 14)",8.133333333333333,9.9,1.7666666666666675,moderate
2,53,"(5, 14)",10.166666666666666,12.0,1.833333333333334,moderate
2,53,"(5, 14)",10.166666666666666,12.166666666666666,2.0,moderate
8,132,"(4, 14)",6.6,8.033333333333333,1.4333333333333336,critical
8,132,"(4, 14)",6.6,8.166666666666666,1.5666666666666664,moderate
2,53,"(4, 14)",10.3,12.066666666666666,1.7666666666666657,moderate
2,53,"(4, 14)",10.3,12.3,2.0,moderate
268,353,"(4, 14)",15.766666666666667,17.633333333333333,1.8666666666666654,moderate
268,353,"(4, 14)",15.766666666666667,17.766666666666666,1.9999999999999982,moderate
250,315,"(25, 2)",8.133333333333333,9.9,1.7666666666666675,moderate
250,315,"(25, 2)",8.133333333333333,10.1,1.9666666666666668,moderate
3,115,"(24, 2)",0.4666666666666667,2.3333333333333335,1.8666666666666667,moderate
3,115,"(24, 2)",0.6333333333333333,2.3333333333333335,1.7000000000000002,moderate
3,115,"(24, 2)",1.0333333333333334,2.3333333333333335,1.3,critical
1621,1647,"(22, 9)",49.46666666666667,51.266666666666666,1.7999999999999972,moderate
1348,1399,"(21, 9)",39.0,40.56666666666667,1.56666666666667,moderate
1621,1647,"(21, 9)",49.6,51.53333333333333,1.93333333333333,moderate
977,1054,"(20, 9)",27.766666666666666,29.566666666666666,1.8000000000000007,moderate
660,813,"(20, 8)",20.966666666666665,22.766666666666666,1.8000000000000007,moderate
1621,1647,"(20, 8)",49.96666666666667,51.833333333333336,1.8666666666666671,moderate
5,192,"(19, 8)",4.433333333333334,4.566666666666666,0.13333333333333286,critical
5,204,"(19, 8)",4.433333333333334,4.8,0.36666666666666625,critical
192,204,"(19, 8)",4.7,4.8,0.09999999999999964,critical
1621,1647,"(19, 8)",50.2,52.03333333333333,1.8333333333333286,moderate
1348,1399,"(18, 8)",39.86666666666667,41.3,1.43333333333333,critical
1621,1647,"(18, 8)",50.266666666666666,52.233333333333334,1.9666666666666686,moderate
